Label 1;Label 2;Label 3;Label 4;Label 5;Label 6;Label 7
Green Frogs;Brown Frogs;Common Toad;Fire-Bellied Toad;Tree Frog;Common Newt;Great Crested Newt
0;0;0;0;0;0;0
0;1;1;0;0;1;0
0;1;1;0;0;1;0
0;0;1;0;0;0;0
0;1;1;1;0;1;1
0;0;0;0;0;0;0
0;0;1;0;0;0;0
1;1;0;1;0;0;0
0;1;1;0;0;0;0
0;1;1;0;0;0;0
1;0;0;0;0;0;0
0;1;1;0;0;0;0
1;0;1;0;0;0;0
1;1;1;0;0;0;0
0;1;1;0;0;0;0
1;1;1;1;1;0;0
0;1;1;0;1;0;0
0;1;1;0;0;0;0
1;1;1;1;0;0;0
1;0;1;0;1;0;0
1;0;1;0;0;0;0
1;0;1;0;0;1;0
0;1;1;0;0;0;0
0;1;1;0;0;0;0
1;0;0;0;0;1;0
1;1;1;0;1;0;0
0;1;0;0;0;0;0
0;0;0;1;1;0;1
1;1;1;0;0;1;1
0;1;1;0;1;0;0
0;1;0;0;1;0;0
0;0;0;0;1;0;0
1;1;0;0;0;0;0
0;1;0;0;0;0;0
0;1;1;0;0;0;0
0;1;1;0;0;0;0
0;0;0;1;0;0;0
0;0;1;0;1;0;1
0;1;0;0;0;0;0
1;0;0;0;0;0;0
1;0;0;1;1;0;0
0;0;1;1;1;0;0
0;0;1;0;1;0;0
0;1;0;0;0;0;0
1;1;1;0;0;0;0
1;1;1;1;1;0;0
1;0;0;1;0;0;0
1;1;0;1;0;1;0
1;1;0;0;1;1;0
0;1;1;0;0;1;0
1;1;1;0;1;0;1
1;1;1;0;0;0;0
0;1;0;0;0;0;0
0;1;0;0;0;1;0
1;1;1;1;1;1;0
0;1;1;0;0;0;0
1;1;1;0;1;1;0
0;0;0;0;1;0;0
1;1;1;1;0;0;0
1;0;1;0;0;0;0
1;1;1;1;0;0;0
1;0;1;0;0;0;0
1;1;1;1;1;0;0
1;0;1;0;0;0;0
1;1;1;0;0;0;0
1;1;0;0;0;0;0
0;1;0;0;0;0;0
0;1;0;0;0;0;0
0;1;0;0;0;0;0
1;1;1;0;1;0;0
1;1;0;1;0;0;0
1;1;1;0;0;0;0
0;0;1;0;0;0;0
1;0;0;0;0;0;0
1;1;1;0;1;0;0
1;0;0;0;0;0;0
0;0;0;1;1;0;0
0;0;1;0;0;0;0
0;0;0;0;1;0;0
1;0;1;0;0;1;0
1;1;1;0;1;1;1
0;1;1;0;0;0;0
0;1;1;0;0;0;0
0;1;1;0;1;0;0
0;1;1;1;0;1;1
1;1;1;0;1;0;0
0;1;1;0;1;0;0
0;1;1;0;1;0;0
1;1;1;1;0;1;0
1;0;0;0;0;0;0
1;1;1;1;0;1;0
1;1;1;1;0;1;0
1;1;1;0;0;1;0
1;1;0;1;0;1;0
1;1;1;1;0;1;0
1;1;1;1;1;1;1
0;1;1;0;1;0;0
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;0;0;0;0
0;1;1;0;0;0;0
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;0;0;0;0;0
1;1;1;0;1;1;0
0;1;0;0;0;0;0
0;1;1;0;1;0;0
1;1;0;0;0;0;0
1;1;1;0;1;0;0
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;0
1;1;1;1;1;1;0
0;1;1;0;0;0;0
0;1;1;0;0;0;0
0;1;0;0;0;0;0
1;1;1;0;0;1;0
1;1;0;1;0;1;0
1;0;0;1;0;0;0
1;1;1;0;0;0;0
1;1;1;0;1;1;1
0;1;0;0;0;0;0
0;1;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;1;0;0
1;1;1;1;1;1;1
1;1;1;1;1;1;0
0;0;0;0;0;0;0
0;1;0;0;0;0;0
0;1;1;1;0;0;0
0;0;0;0;0;0;0
1;1;1;0;0;0;0
1;0;0;0;0;1;0
1;0;0;0;0;0;0
1;1;0;0;0;0;0
1;1;1;1;1;0;0
1;1;1;0;1;0;0
1;0;0;0;0;0;0
1;1;0;0;0;0;0
1;1;1;1;1;1;0
1;1;1;0;1;0;0
1;1;1;1;1;1;0
1;1;1;1;1;1;0
1;1;0;0;0;0;0
1;1;1;0;0;1;0
1;1;1;0;1;1;0
1;1;1;1;0;1;0
1;1;1;0;1;1;0
1;1;1;1;1;0;0
1;1;1;0;0;0;0
0;1;0;1;0;0;0
1;1;1;0;0;0;0
1;1;1;1;1;1;0
1;1;1;1;1;1;0
1;1;1;0;0;0;0
1;1;1;0;1;1;0
0;1;0;0;0;0;0
1;1;1;1;1;1;0
0;1;0;0;0;0;0
1;1;1;1;1;1;0
1;1;1;1;1;1;0
0;1;0;0;0;0;0
1;1;1;0;1;0;0
1;1;1;0;1;0;0
0;1;1;1;0;0;0
1;1;1;1;1;0;0
1;1;1;1;1;0;0
0;1;0;0;0;0;0
0;1;0;0;0;0;0
1;1;1;1;1;1;1
0;1;0;0;0;0;0
0;1;0;0;0;0;0
0;1;1;1;1;1;1
0;1;1;1;1;1;1
1;0;0;0;1;0;0
0;1;0;0;0;0;0
0;1;0;0;0;0;0
0;0;0;0;0;0;0
1;1;1;0;1;1;0
1;1;1;0;1;1;1
0;1;1;0;0;0;0
1;1;1;0;0;0;0
0;1;1;0;0;0;0
0;1;0;0;0;0;0
1;1;1;1;0;1;0
1;1;1;1;0;1;0
0;1;1;0;0;0;0
0;1;1;0;0;0;0
1;0;0;0;0;1;0
1;0;0;2;1;0;1
3;1;1;0;2;0;2
0;1;1;0;0;0;0
0;1;0;0;0;0;0
1;1;1;1;1;1;1
0;1;0;1;0;0;0
