Integer;Categorical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical;Numerical;Ordinal;Ordinal;Categorical;Categorical;Label 1;Label 2;Label 3;Label 4;Label 5;Label 6;Label 7
ID;Motorway;SR;NR;TR;VR;SUR1;SUR2;SUR3;UR;FR;OR;RR;BR;MR;CR;Green Frogs;Brown Frogs;Common Toad;Fire-Bellied Toad;Tree Frog;Common Newt;Great Crested Newt
1;A1;82.122665822459;1;1;4;6;2;10;0;0;50;0;0;0;;0;0;0;0;0;0;0
2;A1;70.4226966399163;1;5;1;10;6;10;3;1;75;1;1;0;1;0;1;1;0;0;1;0
3;A1;1193.5891812548177;1;5;1;;6;10;3;4;75;1;1;0;1;0;1;1;0;0;1;0
4;A1;629.8641463331797;1;5;0;6;10;2;3;4;25;0;0;0;1;0;0;1;0;0;0;0
5;A1;-198.91046355669698;2;1;4;;2;6;0;0;99;0;5;0;1;0;1;1;1;0;1;1
6;A1;1381.4261776685373;1;5;1;6;6;10;;0;50;0;0;0;1;0;0;0;0;0;0;0
7;A1;243.68770686382527;1;5;0;;6;10;1;2;25;;0;0;2;0;0;1;0;0;0;0
8;A1;1073.8333416745013;1;5;2;10;6;9;0;0;100;1;1;;1;1;1;0;1;0;0;0
9;A1;110.2550051104999;2;5;1;;1;2;0;1;50;1;0;0;;0;1;1;0;0;0;0
10;A1;90.08816394024416;1;12;4;2;7;6;0;0;75;1;0;0;1;0;1;1;0;0;0;0
11;A1;994.9414400850483;1;;4;;7;1;;0;100;2;1;0;1;1;0;0;0;0;0;0
12;A1;164.44266289433895;1;14;2;1;2;7;0;0;100;2;1;0;1;0;1;1;0;0;0;0
13;A1;;1;1;1;;6;10;3;3;50;;5;0;1;1;0;1;0;0;0;0
14;A1;1533.612249873794;1;1;1;2;6;10;0;1;100;2;2;2;1;1;1;1;0;0;0;0
15;A1;7558.498907841835;1;1;3;;10;7;0;0;100;9;9;;;0;1;1;0;0;0;0
16;A1;29349.254947623704;1;1;3;1;1;1;;;100;2;10;0;1;1;1;1;1;1;0;0
17;A1;1463.2437337521037;1;12;4;;1;1;0;0;100;5;10;0;1;0;1;1;0;1;0;0
18;A1;809.3823235458276;1;15;1;1;1;9;0;0;75;0;5;0;1;0;1;1;0;0;0;0
19;A1;1455.525515668782;3;1;0;;6;2;3;1;75;;1;0;1;1;1;1;1;0;0;0
20;A1;3309.334638067237;6;1;2;6;6;2;3;1;;0;0;0;1;1;0;1;0;1;0;0
21;A1;6858.172347750606;6;;1;;10;2;;4;50;0;0;0;1;1;0;1;0;0;0;0
22;A1;1832.5183683051446;1;1;3;10;2;6;0;1;100;0;1;0;1;1;0;1;0;0;1;0
23;A1;1174.402419740099;1;1;0;;2;7;3;4;100;2;1;0;1;0;1;1;0;0;0;0
24;A1;1541.310311298941;1;1;3;10;6;2;0;0;100;0;0;0;1;0;1;1;0;0;0;0
25;A1;;1;1;2;;2;10;0;0;100;;5;2;1;1;0;0;0;0;1;0
26;A1;3707.887428677388;1;1;1;2;2;9;;2;100;9;9;0;;1;1;1;0;1;0;0
27;A1;-242.3942494107439;1;12;4;;2;1;0;0;100;5;9;0;1;0;1;0;0;0;0;0
28;A1;6685.094570634647;1;1;4;2;2;1;0;0;100;5;5;0;1;0;0;0;1;1;0;1
29;A1;30428.46743373511;1;1;3;;2;1;1;0;100;5;5;;1;1;1;1;0;0;1;1
30;A1;7322.199857693663;1;1;3;2;2;7;0;0;100;0;1;0;;0;1;1;0;1;0;0
31;A1;4435.306336687265;1;;3;;1;7;;;100;;5;0;1;0;1;0;0;1;0;0
32;A1;3071.270053173658;1;1;3;2;9;2;0;0;50;0;1;0;1;0;0;0;0;1;0;0
33;A1;757.7494665683118;1;1;0;;10;6;3;4;100;2;1;0;1;1;1;0;0;0;0;0
34;A1;592.2902711162226;2;1;2;2;10;10;0;0;100;1;5;0;1;0;1;0;0;0;0;0
35;A1;640.6682280384042;1;1;1;;10;10;0;0;100;2;2;0;1;0;1;1;0;0;0;0
36;A1;-203.21855884758224;1;1;0;2;6;10;;4;100;2;2;0;1;0;1;1;0;0;0;0
37;A1;;1;1;2;;10;6;0;0;100;;1;0;1;0;0;0;1;0;0;0
